,cik,year_end
345,16058, 0630
346,8, 40
347,23217, 0531
348,721371, 0630
349,16988, 40
350,887596, 1231
351,16160, 0530
352,1406666, 1231
353,730255, 0228
354,1231, 40
355,723612, 1231
356,1340127, 1231
357,907471, 0930
358,726958, 0430
359,18230, 1231
360,1671013, 40
361,861842, 1231
362,896159, 40
363,716133, 1231
364,17, 40
365,910612, 1231
366,1318641, 1231
367,820081, 1231
368,1419536, 40
369,1374310, 1231
370,1369868, 40
371,1067294, 0802
372,813828, 1231
373,22356, 1231
374,16040, 0930
375,723188, 1231
376,944148, 1231
377,726601, 1231
378,1231, 9
379,1051470, 1231
380,1231, 40
381,1219601, 1231
382,815097, 1130
383,9, 40
384,1102934, 0930
385,736772, 1231
386,1334978, 1231
387,1158324, 1231
388,1141103, 1231
389,1576940, 1231
390,5, 40
391,749038, 0630
392,1340652, 1231
393,215466, 1231
394,813672, 1228
395,761648, 1231
396,949428, 1231
397,1200375, 1231
398,1306830, 1231
399,3197, 1231
400,1046568, 1231
401,1231, 40
402,816284, 1231
403,887733, 0928
404,887733, 0928
405,949157, 1231
406,804753, 1228
407,1020214, 1231
408,925645, 40
409,1173489, 1231
410,1324404, 1231
411,1074433, 1022
412,39263, 1231
413,1420800, 1231
414,1527166, 1231
415,1231, 40
416,851205, 1231
417,726854, 1231
418,313927, 1231
419,20212, 1231
420,19584, 1231
421,1517175, 1228
422,1046311, 1231
423,895126, 1231
424,1231, 40
425,1524769, 1231
426,1512762, 1231
427,1043277, 1231
428,897429, 0201
429,1091667, 1231
430,1739940, 1231
431,24090, 1231
432,1231, 40
433,1173204, 0331
434,936395, 1031
435,5, 40
436,1409493, 1231
437,20286, 1231
438,1091883, 1231
439,1171825, 1231
440,859598, 1231
441,21665, 1231
442,1000229, 40
443,1089143, 0630
444,1476045, 1231
445,744218, 1231
446,764065, 1231
447,796505, 0930
448,36047, 1231
449,822818, 1231
450,924901, 1231
451,1340122, 1231
452,1368265, 1231
453,1679688, 1231
454,732834, 1231
455,840715, 1231
456,1231, 40
457,749647, 1231
458,1281774, 1231
459,1466301, 1231
460,1441236, 1231
461,21076, 0630
462,1045520, 40
463,28412, 1231
464,22444, 0831
465,1005229, 0331
466,1166691, 1231
467,1156375, 1231
468,1058090, 1231
469,26172, 1231
470,1058623, 1231
471,766701, 1231
472,1227654, 1231
473,1231, 40
474,811156, 1231
475,23197, 0731
476,21175, 1231
477,1071739, 1231
478,1231, 40
479,1385280, 1231
480,816956, 1231
481,1224608, 1231
482,1130310, 1231
483,1231, 40
484,1284812, 1231
485,1304421, 1231
486,911147, 1231
487,1070412, 1231
488,1467808, 40
489,1345126, 1231
490,927628, 1231
491,858470, 1231
492,21510, 0928
493,21535, 1228
494,317540, 1229
495,887343, 1231
496,1050797, 1231
497,1223389, 0131
498,711404, 1031
499,1163165, 1231
500,1490892, 1231
501,1318084, 1231
502,1088856, 1231
503,909832, 0902
504,884713, 40
505,1466538, 1231
506,16875, 40
507,1231, 40
508,1231, 40
509,16732, 0728
510,928022, 1231
511,701347, 1231
512,1087294, 40
513,19745, 1231
514,1231, 40
515,1392326, 40
516,900075, 0731
517,1369568, 1231
518,1169445, 1231
519,889609, 1231
520,1009759, 0331
521,906345, 1231
522,1383650, 1231
523,25445, 1231
524,1053706, 1228
525,1609253, 1231
526,895419, 0628
527,1060822, 1228
528,1108205, 1231
529,23194, 1231
530,1100682, 1228
531,1410098, 1231
532,799850, 0430
533,1231, 40
534,1334036, 1231
535,1009672, 1231
536,17843, 0630
537,772406, 0328
538,25895, 0331
539,784199, 1231
540,1040593, 1231
541,28, 40
542,858877, 0725
543,1102266, 1231
544,1057352, 1231
545,1005757, 1231
546,1180145, 0630
547,1231, 40
548,790051, 1231
549,1401680, 1231
550,20629, 0331
551,23, 40
552,1676479, 1231
553,1043000, 1231
554,1016281, 1231
555,17313, 0331
556,277948, 1231
557,723254, 0531
558,24491, 1231
559,350852, 1231
560,1015155, 0630
561,1042187, 1231
562,891293, 1231
563,18926, 1231
564,23795, 1231
565,1318484, 0201
566,1318484, 0201
567,26058, 1231
568,1058290, 1231
569,877890, 1231
570,26076, 0930
571,1298675, 1231
572,1108967, 1231
573,1125259, 40
574,1162461, 1231
575,25232, 1231
576,225648, 1231
577,354647, 1231
578,278166, 0328
579,1127371, 1231
580,1231, 40
581,1290900, 1231
582,1133470, 1031
583,1376139, 1231
584,1169561, 0331
585,725363, 0930
586,64803, 1231
587,928658, 1231
588,889348, 1231
589,93410, 1231
590,26324, 1231
591,928340, 40
592,1669779, 1231
593,911177, 1231
594,1035201, 1231
595,1076378, 40
596,1358071, 1231
597,1070985, 1231
598,791915, 1229
599,768411, 1231
600,1130166, 1231
601,1231, 40
602,1108109, 1231
603,1231, 40
604,1061983, 1231
605,799698, 1231
606,858339, 1231
607,1367859, 1231
608,1402902, 40
609,715957, 1231
610,1231, 40
611,351998, 1211
612,915779, 0502
613,27904, 1231
614,26780, 1231
615,916540, 1228
616,916540, 1228
617,28823, 1231
618,29644, 0731
619,1481241, 40
620,30305, 1231
621,1005409, 1231
622,1666700, 1231
623,910638, 1231
624,28917, 0201
625,315189, 1103
626,910521, 0331
627,1364250, 1231
628,1571996, 0201
629,852772, 1225
630,931336, 1231
631,1393612, 1231
632,29534, 0131
633,800457, 1231
634,854775, 0930
635,1342958, 1231
636,1022079, 1231
637,882184, 0930
638,313616, 1231
639,14, 40
640,1393883, 1231
641,49754, 1231
642,29002, 1231
643,1744489, 0928
644,1437107, 1231
645,1437107, 1231
646,1437107, 1231
647,1001082, 1231
648,1694426, 1231
649,1089063, 0201
650,930, 40
651,1101396, 0928
652,1308547, 0924
653,1707092, 40
654,1297996, 1231
655,935703, 0201
656,27996, 1231
657,1438231, 1231
658,713671, 1231
659,1357204, 1228
660,8, 40
661,945764, 1231
662,949039, 1231
663,868780, 1229
664,29905, 1231
665,930, 40
666,896493, 1231
667,1286681, 1229
668,1231, 40
669,707388, 1231
670,783280, 1231
671,1298946, 1231
672,940944, 0531
673,1042893, 1231
674,1082038, 1231
675,131, 40
676,915778, 40
677,771999, 1231
678,3, 40
679,936340, 1231
680,1326160, 1231
681,927066, 1231
682,1029142, 1231
683,1017673, 1231
684,1090012, 1231
685,799165, 1231
686,826675, 1231
687,1093557, 1231
688,1020710, 1231
689,29332, 1228
690,67215, 0125
691,720875, 0630
692,1231, 40
693,712515, 0331
694,703351, 0624
695,1065088, 1231
696,33002, 0228
697,814549, 1231
698,1367644, 1231
699,1411974, 1231
700,1231, 40
701,1157806, 40
702,1426945, 1231
703,31462, 1231
704,1783400, 1231
705,1084961, 1231
706,1487798, 1231
707,1047862, 1231
708,1231, 40
709,531, 40
710,31978, 1231
711,1029199, 1231
712,1411342, 1231
713,1025835, 1231
714,33185, 1231
715,1066194, 0630
716,1050441, 1231
717,1023731, 0331
718,18, 40
719,1065332, 1231
720,49600, 1231
721,894627, 1231
722,1333493, 1231
723,1379041, 1231
724,827052, 1231
725,1001250, 0630
726,1013606, 1231
727,1488917, 0630
728,895417, 1231
729,837465, 1231
730,1046995, 1231
731,105634, 1231
732,808326, 0930
733,915389, 1231
734,32604, 0930
735,895728, 40
736,1593034, 40
737,1463101, 1231
738,1632790, 0930
739,1289308, 0331
740,1125376, 1231
741,1101302, 1231
742,1337619, 1231
743,316253, 0731
744,821189, 1231
745,1352010, 1231
746,1073349, 0630
747,1061219, 1231
748,1006655, 0630
749,1045450, 1231
750,1101239, 1231
751,906107, 1231
752,33213, 1231
753,29, 40
754,1231, 40
755,922621, 1231
756,1421517, 1231
757,9, 40
758,72741, 1231
759,33488, 1229
760,866706, 0930
761,3, 40
762,1363829, 40
763,1590714, 1231
764,1231, 40
765,920522, 1231
766,1382230, 0930
767,10254, 1231
768,1276187, 1231
769,1015780, 1231
770,896156, 0630
771,1067837, 1231
772,1551182, 40
773,65984, 1231
774,350797, 1031
775,842518, 1231
776,1109116, 1231
777,1640428, 1231
778,1052054, 1231
779,1360901, 1231
780,1099800, 1231
781,1069157, 1231
782,1124140, 1231
783,1109357, 1231
784,939767, 0103
785,16, 40
786,20, 40
787,1297989, 40
788,918646, 0331
789,746515, 1231
790,1324424, 1231
791,851520, 0103
792,1483510, 0201
793,1289490, 1231
794,1078271, 0630
795,876523, 0930
796,37996, 1231
797,1472787, 1231
798,34563, 0630
799,917491, 1231
800,815556, 1231
801,1033012, 1231
802,1519751, 1231
803,1521951, 1231
804,947559, 1231
805,811589, 1231
806,1057706, 1231
807,886206, 0831
808,859070, 1231
809,932781, 1231
810,1141807, 1231
811,886128, 1031
812,712537, 1231
813,840489, 1231
814,887936, 1231
815,831259, 1231
816,946647, 1231
817,1047340, 9
818,1013237, 0831
819,1513363, 1231
820,1048911, 0531
821,1031296, 1231
822,38725, 1231
823,4, 40
824,1401257, 1231
825,1337298, 1231
826,708955, 1231
827,1012771, 1231
828,923139, 1231
829,36029, 1231
