,0
301,"['0001287750', '1231']"
302,ARCO
303,"['1231', '40']"
304,ARCW
305,"['0000826326', '0630']"
306,ARE
307,"['0001035443', '1231']"
308,AREX
309,"['0001405073', '1231']"
310,ARI
311,"['0001467760', '1231']"
312,ARLP
313,"['0001086600', '1231']"
314,ARNA
315,"['0001080709', '1231']"
316,AROW
317,"['0000717538', '1231']"
318,ARQL
319,"['0001019695', '1231']"
320,ARR
321,"['0001428205', '1231']"
322,ARTNA
323,"['0000863110', '1231']"
324,ARTX
325,"['0000916529', '1231']"
326,ARW
327,"['0000007536', '1231']"
328,ARWR
329,"['0000879407', '0930']"
330,ASGN
331,"['0000890564', '1231']"
332,ASH
333,"['0001674862', '0930']"
334,ASM
335,"['1231', '40']"
336,ASML
337,"['16', '40']"
338,ASNA
339,"['0001498301', '0803']"
340,ASPS
341,"['0001462418', '40']"
342,ASR
343,"['5', '40']"
344,ASTE
345,"['0000792987', '1231']"
346,ASUR
347,"['0000884144', '1231']"
348,ASX
349,"['08', '40']"
350,ASYS
351,"['0000720500', '0930']"
352,AT
353,"['0001419242', '1']"
354,ATAX
355,"['0001059142', '1231']"
356,ATEC
357,"['0001350653', '1231']"
358,ATHX
359,"['0001368148', '1231']"
360,ATI
361,"['0001018963', '1231']"
362,ATNI
363,"['0000879585', '1231']"
364,ATO
365,"['0000731802', '0930']"
366,ATR
367,"['0000896622', '1231']"
368,ATRC
369,"['0001323885', '1231']"
370,ATRO
371,"['0000008063', '1231']"
372,ATSG
373,"['0000894081', '1231']"
374,ATVI
375,"['0000718877', '1231']"
376,AUDC
377,"['0001086434', '40']"
378,AUMN
379,"['0001011509', '1231']"
380,AUY
381,"['02', '40']"
382,AVA
383,"['0000104918', '1231']"
384,AVAV
385,"['0001368622', '0430']"
386,AVB
387,"['0000915912', '1231']"
388,AVD
389,"['0000005981', '1231']"
390,AVEO
391,"['0001325879', '1231']"
392,AVGO
393,"['0001730168', '1103']"
394,AVID
395,"['0000896841', '1231']"
396,AVNW
397,"['0001377789', '0703']"
398,AVP
399,"['0000008868', '1231']"
400,AVT
401,"['0000008858', '0627']"
402,AVX
403,"['0000859163', '0331']"
404,AVY
405,"['0000008818', '1228']"
406,AWI
407,"['0000007431', '1231']"
408,AWK
409,"['0001410636', '1231']"
410,AWR
411,"['0001056903', '1231']"
412,AXAS
413,"['0000867665', '1231']"
414,AXE
415,"['0000052795', '0103']"
416,AXL
417,"['0001062231', '1231']"
418,AXP
419,"['0000004962', '1231']"
420,AXS
421,"['0001214816', '40']"
422,AXTI
423,"['0001051627', '1231']"
424,AXU
425,"['1231', '40']"
426,AYI
427,"['0001144215', '0831']"
428,AYR
429,"['0001362988', '0']"
430,AZN
431,"['0000901832', '40']"
432,AZO
433,"['0000866787', '0831']"
434,AZPN
435,"['0000929940', '0630']"
436,AZZ
437,"['0000008947', '0228']"
438,B
439,"['0000009984', '1231']"
440,BA
441,"['0000012927', '1231']"
442,BAC
443,"['0000070858', '1231']"
444,BAH
445,"['0001443646', '0331', 'NULL', 'NULL']"
446,BAK
447,"['0001443646', '0331', 'NULL', 'NULL']"
448,BAM
449,"['0001001085', '40']"
450,BANC
451,"['0001169770', '1231']"
452,BANF
453,"['0000760498', '1231']"
454,BANR
455,"['0000946673', '1231']"
456,BAP
457,"['1231', '40']"
458,BAS
459,"['0001109189', '1231']"
460,BASI
461,"['0000720154', '0930']"
462,BAX
463,"['0000010456', '1231']"
464,BBBY
465,"['0000886158', '0229']"
466,BBD
467,"['5', '40']"
468,BBGI
469,"['0001099160', '1231']"
470,BBSI
471,"['0000902791', '1231']"
472,BBT
473,"['0000092230', '1231']"
474,BBW
475,"['0001113809', '0201']"
476,BBX
477,"['0000315858', '1231']"
478,BBY
479,"['0000764478', '0201']"
480,BC
481,"['0000014930', '1231']"
482,BCE
483,"['0000718940', '40']"
484,BCEI
485,"['0001509589', '1231']"
486,BCH
487,"['3', '40']"
488,BCO
489,"['0000078890', '1231']"
490,BCOV
491,"['0001313275', '1231']"
492,BCPC
493,"['0000009326', '1231']"
494,BCRX
495,"['0000882796', '1231']"
496,BCS
497,"['0000312069', '40']"
498,BDC
499,"['0000913142', '1231']"
500,BDGE
501,"['0000846617', '1231']"
502,BDN
503,"['0000790816', '1231']"
504,BDSI
505,"['0001103021', '1231']"
506,BDX
507,"['0000010795', '0930']"
508,BEAT
509,"['0001574774', '1231']"
510,BECN
511,"['0001124941', '0930']"
512,BELFB
513,"['0000729580', '1231']"
514,BEN
515,"['0000038777', '0930']"
516,BEST
517,"['1231', '40']"
518,BFIN
519,"['0001303942', '1231']"
520,BFS
521,"['0000907254', '1231']"
522,BG
523,"['0001144519', '1231']"
524,BGCP
525,"['0001094831', '1231']"
526,BGFV
527,"['0001156388', '1229']"
528,BGG
529,"['0000014195', '0628']"
530,BGS
531,"['0001278027', '1228']"
532,BHB
533,"['0000743367', '1231']"
534,BHE
535,"['0000863436', '1231']"
536,BHLB
537,"['0001108134', '1231']"
538,BIDU
539,"['12', '40']"
540,BIG
541,"['0000768835', '0131']"
542,BIIB
543,"['0000875045', '1231']"
544,BIO
545,"['0000012208', '1231']"
546,BIOC
547,"['0001044378', '1231']"
548,BIOS
549,"['0001014739', '1231']"
550,BIP
551,"['1231', '40']"
552,BITA
553,"['9', '40']"
554,BJRI
555,"['0001013488', '1231']"
556,BK
557,"['0001390777', '1231']"
558,BKCC
559,"['0001326003', '05']"
560,BKD
561,"['0001332349', '1231']"
562,BKE
563,"['0000885245', '0201']"
564,BKEP
565,"['0001392091', '1231']"
566,BKH
567,"['0001130464', '1231']"
568,BKI
569,"['0001627014', '1231']"
570,BKU
571,"['0001504008', '1231']"
572,BLDP
573,"['02', '40']"
574,BLDR
575,"['0001316835', '1231']"
576,BLK
577,"['0001364742', '1231']"
578,BLKB
579,"['0001280058', '1231']"
580,BLL
581,"['0000009389', '1231']"
582,BLRX
583,"['1231', '40']"
584,BLX
585,"['22', '40']"
586,BMA
587,"['21', '40']"
588,BMI
589,"['0000009092', '1231']"
590,BMO
